ID,Perimeter_meters,Shape_Area_sqm,Hctrs,Distance_Mchannel,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_MEAN,NDVI_STD,VSDI,gamma_index,dem_detrend_MEAN,dem_detrend_STD,canopy_cover,canopy_cover_10m,canopy_avg_height,canopy_min_height,canopy_std,PERCENTAGE_Inundated,flow_accumilation_MAX,flow_accumilation_RANGE,flow_accumilation_MEAN,flow_accumilation_STD,flow_accumilation_SUM,flow_length_MAX,flow_length_MEAN,flow_length_STD,flow_length_SUM,edge_density,MSI,AWMSI,MPAR,AWMPFD
1,942.1380005,3130.85568133000,0.313086,628.0565551,-0.29032257199,0.40740740299,0.69772997499,-0.08196515383,0.15084843054,0.698414049,0.416666667,962.8932398,0.126422349,25.59696943,10.91446474,3.342935781,2.134862208,0.641870673,0.00000000000,40908,40908,275.5792998,2387.35522,5391709,195.3969116,5.585612948,15.66602796,109282.5173,0.00012725700,4.74983000000,4.74983000000,0.30092000000,1.70160000000
2,936.9229736,2478.06375788000,0.247806,767.471034,-0.20408163965,0.46666666865,0.67074830830,0.08407207595,0.11501405641,0.808398076,0.416666667,962.8104255,0.347546605,53.17845209,48.62752784,14.67831792,9.079226133,2.682545188,2.17617995270,30090,30090,135.2554292,1433.735014,2092672,135.3170013,3.173089438,9.75616098,49094.03978,0.00012655300,5.30937000000,5.30937000000,0.37808700000,1.75109000000
3,860.0999756,2512.91575307000,0.251292,704.7400165,-0.25555557013,0.46551725268,0.72107282281,0.05655602695,0.10811783314,0.893410883,0.458333333,962.7244079,0.632842864,51.48810563,42.87067875,10.73196858,7.355006223,1.949371363,15.76912191730,2142204,2142204,11185.53083,153836.7653,175422680,1419.483032,9.788568788,100.461251,153514.1243,0.00011617600,4.84010000000,4.84010000000,0.34227100000,1.72611000000
4,2901.100098,28756.81997890000,2.87568,30.22596627,-0.46892654896,0.50218337774,0.97110992670,0.13920358363,0.15565606622,0.88083735,0.541666667,963.559507,0.452341312,59.79744432,47.97341728,11.17396802,6.492991414,2.391047985,3.97319435855,240440,240440,588.980816,7669.790567,105859289,539.0883179,5.500016575,28.10656082,988534.479,0.00039186000,4.82600000000,4.82600000000,0.10088400000,1.55316000000
5,1058.819946,3670.63493467000,0.367063,855.3573821,-0.37837839127,0.40000000596,0.77837839723,-0.14617853610,0.13736152502,0.54366957,0.416666667,962.7806491,0.195911178,17.55420275,14.84571038,4.004743391,3.003891123,0.576759363,0.00000000000,42195,42195,211.5758646,2242.175098,4851223,215.7934113,3.27326657,13.55805228,75052.72919,0.00014301800,4.92999000000,4.92999000000,0.28845600000,1.69708000000
6,3932.52002,19451.69930140000,1.94517,799.1449951,-0.36000001431,0.51999998093,0.87999999523,0.10592328626,0.17031458835,0.821016352,0.592592593,962.5157723,0.373008598,52.91168735,44.32853908,10.63697248,7.00667161,1.95798421,8.97314352018,295801,295801,891.8710097,12134.10624,108429218,475.5266113,4.693809763,25.02056227,570649.9219,0.00053117600,7.95403000000,7.95403000000,0.20216800000,1.67624000000
7,550.0219727,3387.12433023000,0.338712,50.89507161,-0.34228187800,0.45689654350,0.79917842150,-0.12858981320,0.13494708159,0.340495606,0.416666667,963.126977,0.2343603,8.539264743,6.193657653,1.390512281,0.906123143,0.255275291,3.90047204063,27498,27498,74.06252658,667.5925168,1567089,131.0875244,2.156075716,6.366421818,45620.40608,0.00007429300,2.66600000000,2.66600000000,0.16238600000,1.55270000000
8,918.9140015,5894.01615138000,0.589402,75.71940178,-0.48571428657,0.33678755164,0.82250183821,-0.12999268361,0.16233202188,0.525761433,0.5,962.6997148,1.116346977,17.72883389,14.86696584,3.487388484,1.958909992,0.705132876,46.21750065180,198510,198510,1748.463236,14613.71168,64346944,441.2145386,9.874565976,40.89949358,363403.7771,0.00012412000,3.37648000000,3.37648000000,0.15590600000,1.57186000000
9,1312.75,4242.31422468000,0.424231,712.3098928,-0.29680365324,0.50000000000,0.79680365324,0.02526984208,0.18124580753,0.622651422,0.481481481,962.5217339,0.439209689,23.43561597,17.22319701,4.403991525,3.083906297,0.717133302,17.46138806890,455959,455959,1317.0693,21333.7069,34912873,546.3752441,6.156407045,29.13997132,163194.0379,0.00017731700,5.68559000000,5.68559000000,0.30944200000,1.71914000000
10,2035.589966,7491.21650154000,0.749122,344.3341324,-0.30196079612,0.41784036160,0.71980115771,0.00962780452,0.15034217641,0.729399143,0.458333333,963.3742679,0.232479763,34.97801011,27.13999223,7.496991743,5.142412118,1.289218017,0.47883020895,71489,71489,388.1388053,4056.557211,18187020,278.6391907,4.807825879,18.64798551,225280.2972,0.00027495300,6.63451000000,6.63451000000,0.27173000000,1.70791000000
